,train_rmse,val_rmse,train_r2,val_r2,mae,overfitting_pct
ridge,0.5317561811186103,0.538047777617524,0.6027377666537711,0.5956672926635949,0.3821343464403243,1.1730597253643993
rf,0.43117670287418575,0.49941988968198336,0.7388062620684586,0.6516395372905328,0.3492199035641115,11.798319702093806
xgb,0.45037880937269903,0.49311659330759516,0.7150241333394516,0.6603775243432781,0.34417309080554553,7.642624416179035
